"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"COEXPUS","199413","98.686","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199501","112.677","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199502","94.75","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199503","67.71","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199504","155.4","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199505","72.774","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199506","100.933","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199507","102.71","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199508","61.452","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199509","74.467","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199510","49.774","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199511","117.667","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199512","126.516","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199513","94.545","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199601","88.774","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199602","92.207","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199603","94.129","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199604","148.267","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199605","36.71","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199606","129.633","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199607","139.161","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199608","44.452","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199609","147","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199610","133.677","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199611","172.033","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199612","96.29","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199613","109.866","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199701","141.355","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199702","229.071","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199703","136.452","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199704","92.4","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199705","25.806","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199706","56.933","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199707","69.871","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199708","110.29","1","Crude Oil Exports","Thousand Barrels per Day"
"COEXPUS","199709","122.167","1","Crude Oil Exports","Thousand Barrels per Day"
